FOLIO INSTITUCIONAL,MÓDULO,FOLIO DE MÓDULO,SEMANA,ESTACIÓN,LÍNEA,FECHA,DÍA,MES,HORA DE AGRESIÓN,HORA DE ATENCIÓN,HORA DE CIERRE DE ATENCIÓN,DESCRIPCIÓN,MODO DE ACCIÓN,DELITO,LUGAR DE LOS HECHOS,SEXO,EDAD,OCUPACIÓN ESPECÍFICA,OCUPACIÓN GENERAL,ESCOLARIDAD DE LA VICTIMA,DELEGACIÓN O MUNICIPIO,ESTADO,SEXO AGRESOR,EDAD  AGRESOR,OCUPACIÓN ESPECÍFICA 2,OCUPACIÓN GENERAL 2,ESCOLARIDAD,DELEGACIÓN O MUNICIPIO 2,ESTADO2,SIN DETENIDO,OBSERVACIONES,OBSTÁCULOS DE COLABORACIÒN,AUTORIDAD,CORPORACION REMITENTE
1981,BALDERAS,B-008,DEL 17 AL 21 DE FEBRERO DE 2014,TACUBAYA,9,17 DE FEBRERO DE 2014,LUNES,FEBRERO,07:50,08:43,15:30,TOCAMIENTO EN ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,40,MAESTRA,EMPLEADA,PROFESIONAL,DELEGACIÓN CUAJIMALPA,DF,HOMBRE,27,ALBAÑIL,OFICIO,PRIMARIA,TOLUCA,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
1982,BALDERAS,B-009,DEL 17 AL 21 DE FEBRERO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),17 DE FEBRERO DE 2014,LUNES,FEBRERO,13:00,10:05,15:37,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),PERSISTENTE Y VIOLENTA,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),MUJER,21,DESEMPLEADA,DESEMPLEADA,PRIMARIA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,37,DESEMPLEADO,DESEMPLEADO,SIN DATO,DELEGACIÓN IZTAPALAPA,DF,NA,CASO DE SEGUIMIENTO LINEA MUJERES. LA ABOGADA QUE ATENDIÓ ESTE CASO SE TRANSLADÓ DESDE MODULO HIDALGO,NINGUNO,OTRA INSTANCIA (CAVI) ,SIN DATO
1983,BALDERAS,B-010,DEL 17 AL 21 DE FEBRERO DE 2014,GARIBALDI,B,17 DE FEBRERO DE 2014,LUNES,FEBRERO,13:10,14:20,21:00,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,40,POLICÍA,SERVIDORA PUBLICA,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,62,DESEMPLEADO,DESEMPLEADO,PROFESIONAL,DELEGACIÓN IZTACALCO,DF,NA,NINGUNA,NINGUNO ,FDS,PBI
1984,HIDALGO,H-014,DEL 17 AL 21 DE FEBRERO DE 2014,SAN COSME,2,17 DE FEBRERO DE 2014,LUNES,FEBRERO,14:30,15:40,19:15,TOCAMIENTO EN PIERNA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,QUINTO VAGÓN ,MUJER,12,ESTUDIANTE,ESTUDIANTE,PRIMARIA,DELEGACIÓN CUAHTÉMOC,DF,HOMBRE,30,DESEMPLEADO,DESEMPLEADO,SIN INSTRUCCIÓN,SIN DATO,SIN DATO,NA,NINGUNA,NINGUNO,FDS,PBI
1985,BALDERAS,B-011,DEL 17 AL 21 DE FEBRERO DE 2014,HIDALGO,2,17 DE FEBRERO DE 2014,LUNES,FEBRERO,18:20,19:12,23:24,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,10,ESTUDIANTE,ESTUDIANTE,PRIMARIA,DELEGACIÓN MIGUEL HIDALGO,DF,HOMBRE,40,DESCARGANTE,OFICIO,PRIMARIA,DELEGACIÓN GUSTAVO A. MADERO,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN LA FDS,NINGUNO,DC,PA
1986,BALDERAS,B-012,DEL 17 AL 21 DE FEBRERO DE 2014,BALDERAS,1,18 DE FEBRERO DE 2014,MARTES,FEBRERO,12:30,12:43,16:00,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,ESCALERAS ELÉCTRICAS,MUJER,40,PERIODISTA,PROFESIONISTA,POSGRADO,DELEGACIÓN CUAUHTÉMOC,DF,HOMBRE,24,AYUDANTE DE DISEÑADOR,EMPLEADO,SECUNDARIA,DELEGACIÓN GUSTAVO A. MADERO,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN LA FDS,NINGUNO,DC,PA
1987,HIDALGO,H-015,DEL 17 AL 21 DE FEBRERO DE 2014,XOLA,2,18 DE FEBRERO DE 2014,MARTES,FEBRERO,12:15,13:10,20:50,MASTURBACIÓN Y EYACULACIÓN ,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,35,TAREAS DEL HOGAR,TAREAS DEL HOGAR,SECUNDARIA,DELEGACIÓN TLAHUAC,DF,HOMBRE,36,SEGURIDAD PRIVADA,EMPLEADO,SECUNDARIA,DELEGACIÓN COYOACÁN,DF,NA,NINGUNA,NINGUNO,FDS,PBI
1988,HIDALGO,H-016,DEL 17 AL 21 DE FEBRERO DE 2014,HIDALGO,2,19 DE FEBRERO DE 2014,MIÉRCOLES,FEBRERO,13:20,13:31,19:15,FRICCIÓN DE PENE EN GLÚTEOS,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,19,EJECUTIVA TELEFÓNICA,EMPLEADA,PREPARATORIA,DELEGACIÓN COYOACÁN,DF,HOMBRE,60,COMERCIANTE,COMERCIANTE,PREPARATORIA,DELEGACIÓN XOCHIMILCO,DF,NA,NINGUNA,NINGUNO,FDS,PA
1989,PANTITLÁN,P-006,DEL 17 AL 21 DE FEBRERO DE 2014,PANTITLÁN,9,19 DE FEBRERO DE 2014,MIÉRCOLES,FEBRERO,09:50,10:20,11:10,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,QUINTO VAGÓN,MUJER,19,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,HOMBRE,21,PINTOR,OFICIO,SECUNDARIA,MUNICIPIO DE CHALCO,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PA
1990,BALDERAS,B-013,DEL 17 AL 21 DE FEBRERO DE 2014,NIÑOS HÉROES,3,20 DE FEBRERO DE 2014,JUEVES,FEBRERO,11:00,11:27,18:20,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,33,EMPLEADA,EMPLEADA,PREPARATORIA,DELEGACIÓN BENITO JUÁREZ,DF,HOMBRE,18,DESEMPLEADO,DESEMPLEADO,PRIMARIA,SIN DATO,SIN DATO,NA,NINGUNA,NINGUNO,FDS,PA
1991,HIDALGO,H-017,DEL 17 AL 21 DE FEBRERO DE 2014,AUDITORIO,7,20 DE FEBRERO DE 2014,JUEVES,FEBRERO,08:45,12:30,20:26,TOCAMIENTO EN GLÚTEOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,26,ASISTENTE ,EMPLEADA,PREPARATORIA,DELEGACIÓN COYOACÁN,DF,HOMBRE,37,CARPINTERO,OFICIO,SECUNDARIA,MUNICIPIO DE CHALCO,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
1992,BALDERAS,B-014,DEL 24 AL 28 DE FEBRERO DE 2014,BALDERAS,3,24 DE FEBRERO DE 204,LUNES,FEBRERO,13:00,13:12,18:55,TOCAMIENTO EN GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,SEGUNDO VAGÓN ,MUJER,20,COMERCIANTE,COMERCIANTE,SECUNDARIA INCOMPLETA,MUNICIPIO DE IXTAPALUCA,ESTADO DE MÉXICO,HOMBRE,21,DESEMPLEADO,DESEMPLEADO,SECUNDARIA,MUNICIPIO DE ALMOLOYA DE JUÁREZ,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
1993,HIDALGO,H-018,DEL 24 AL 28 DE FEBRERO DE 2014,HIDALGO,2,25 DE FEBRERO DE 2014,MARTES,FEBRERO,09:30,09:50,13:40,FROTAMIENTO DE PENE EN GLÚTEO ,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,19,DESEMPLEADA,DESEMPLEADA,SECUNDARIA,DELEGACIÓN IZTACALCO,DF,HOMBRE,34,EMPLEADO,EMPLEADO,PREPARATORIA,DELEGACIÓN IZTAPALAPA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN LA FDS,NINGUNO,DC,PA
1994,HIDALGO,H-019,DEL 24 AL 28 DE FEBRERO DE 2014,GUERRERO,3,25 DE FEBRERO DE 2014,MARTES,FEBRERO,15:35,15:45,23:18,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,29,TAREAS DEL HOGAR,TAREAS DEL HOGAR,CARRERA TÉCNICA,DELEGACIÓN VENUSTIANO CARRANZA,DF,HOMBRE,32,AUXILIAR ADMINISTRATIVO,EMPLEADO,PROFESIONAL,SIN DATO,SIN DATO,NA,NINGUNA,NINGUNO,FDS,PBI
1995,HIDALGO,H-020,DEL 24 AL 28 DE FEBRERO DE 2014,HIDALGO,2,26 DE FEBRERO  DE 2014,MIÉRCOLES,FEBRERO,14:05,14:20,18:25,TOCAMIENTO EN SENO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,PASILLO  DE CORRESPONDENCIA ,MUJER,21,EMPLEADA,EMPLEADA,PREPARATORIA,MUNICIPIO DE NAUCAPAN,ESTADO DE MÉXICO,HOMBRE,38,DESEMPLEADO,DESEMPLEADO,SECUNDARIA,DELEGACIÓN TLALPAN,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PA
1996,GUERRERO,G-002,DEL 24 AL 28 DE FEBRERO DE 2014,GUERRERO,3,27 DE FEBRERO DE 2014,JUEVES,FEBRERO,07:50,08:30,14:10,TOCAMIENTO EN ÁREA PÚBICA Y GLÚTEO,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,18,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN VENUSTIANO CARRANZA,DF,HOMBRE,31,CARPINTERO,OFICIO,SECUNDARIA,MUNICIPIO DE TECAMAC,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
1997,PANTITLÁN,P-007,DEL 24 AL 28 DE FEBRERO DE 2014,INSURGENTES,1,28 DE FEBRERO DE 2014,VIERNES,FEBRERO,15:15,16:17,20:20,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),AGRESIVA VERBAL Y FÍSICAMENTE,VIOLENCIA FAMILIAR,SEXTO VAGÓN,MUJER,26,ENFERMERA,EMPLEADA,SECUNDARIA,SIN DATO,SIN DATO,HOMBRE,20,ARCHIVISTA,EMPLEADO,PREPARATORIA,DELEGACIÓN VENUSTIANO CARRANZA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN MP,NINGUNO ,DC,PBI
1998,PINO SUÁREZ,PS-012,DEL 24 AL 28 DE FEBRERO DE 2014,ISABEL LA CATÓLICA,1,28 DE FEBRERO DE 2014,VIERNES,FEBRERO,15:30,17:33,18:18,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,14,ESTUDIANTE,ESTUDIANTE,SECUNDARIA,DELEGACIÓN TLALPAN,DF,HOMBRE,25,GERENTE,EMPLEADO,PROFESIONAL,DELEGACIÓN IZTACALCO,DF,NA,LA VÍCTIMA SUFRE AGRESIÓN APROXIMADAMENTE A  LAS 15:30 Y SIGUE AL PR PIDE APOYO A LAS 16:00 Y LA REMITEN A MODULO A LAS 17:33.   SE RESERVA SU DERECHO A DENUNCIAR EN EL MODÚLO,NINGUNO,DC,PBI
1999,BALDERAS,B-015,DEL 03 AL 07 DE MARZO DE 2014,INSURGENTES,1,03 DE MARZO DE 2014,LUNES,MARZO,08:00,08:35,09:38,TOCAMIENTO EN GENITALES,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,NOVENO VAGÓN,HOMBRE,27,SEGURIDAD PRIVADA,EMPLEADO,PREPARATORIA INCOMPLETA,DELEGACIÓN GUSTAVO A. MADERO,DF,HOMBRE,72,EMPLEADO,EMPLEADO,PRIMARIA INCOMPLETA,DELEGACIÓN ÁLVARO OBREGÓN,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2000,PANTITLÁN,P-008,DEL 03 AL 07 DE MARZO DE 2014,ZARAGOZA,1,05 DE MARZO DE 2014,MIÉRCOLES,MARZO,09:50,10:13,10:50,TOCAMIENTO EN GLÚTEO Y GENITALES,NEGANDO LOS HECHOS ,ABUSO SEXUAL,ESCALERAS FIJAS DE SALIDA,MUJER,40,SECRETARÍA,EMPLEADA,CARRERA TÉCNICA,DELEGACIÓN TLAHUAC,DF,HOMBRE,21,POLÍCIA,EMPLEADO,SECUNDARIA,MUNICIPIO DE CHIMALHUACÁN,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2001,PINO SUÁREZ,PS-013,DEL 03 AL 07 DE MARZO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (TERMINAL DE AUTOBUSES DEL PONIENTE TAPO),FUERA DE LAS INSTALACIONES DEL STC (TERMINAL DE AUTOBUSES DEL PONIENTE TAPO),05 DE MARZO DE 2014,MIÉRCOLES,MARZO,08:50,10:34,17:45,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),PERSISTENTE Y VIOLENTA,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC (TERMINAL DE AUTOBUSES DEL PONIENTE TAPO),MUJER,25,TAREAS DEL HOGAR,TAREAS DEL HOGAR,PRIMARIA,DELEGACIÓN VENUSTIANO CARRANZA,DF,HOMBRE,31,COMERCIANTE,COMERCIANTE,SECUNDARIA,DELEGACIÓN VENUSTIANO CARRANZA,DF,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (FAM),SIN DETENIDO
2002,PINO SUÁREZ,PS-014,DEL 03 AL 07 DE MARZO DE 2014,PINO SUÁREZ,1,05 DE MARZO DE 2014,MIÉRCOLES,MARZO,13:06,13:12,13:55,TOCAMIENTO EN SENO,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,PASILLO  DE CORRESPONDENCIA ,MUJER,28,ESTILISTA,EMPLEADA,SECUNDARIA,DELEGACIÓN MIGUEL HIDALGO,DF,HOMBRE,19,DESEMPLEADO,DESEMPLEADO,PRIMARIA,DELEGACIÓN VENUSTIANO CARRANZA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2003,PINO SUÁREZ,PS-015,DEL 03 AL 07 DE MARZO DE 2014,ZÓCALO,2,05 DE MARZO DE 2014,MIÉRCOLES,MARZO,14:20,14:45,20:25,FRICCIÓN EN SENOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,TERCER VAGÓN,MUJER,29,ABOGADA,PROFESIONISTA,PROFESIONAL,DELEGACIÓN COYOACÁN,DF,HOMBRE,29,EMPLEADO,EMPLEADO,PREPARATORIA,MUNICIPIO DE CUAUTITLAN  IZCALLI,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
2004,BALDERAS,B-016,DEL 03 AL 07 DE MARZO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),06 DE MARZO DE 2014,JUEVES,MARZO,08:00 DEL DÍA 05 DE MARZO DE 2014,09:42,16:57,VIOLENCIA FAMILIAR (VERBAL Y FÍSICA),AGRESIVA VERBAL Y FÍSICAMENTE,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),MUJER,30,TAREAS DEL HOGAR,TAREAS DEL HOGAR,SECUNDARIA INCOMPLETA,DELEGACIÓN XOCHIMILCO,DF,HOMBRE,33,POLICÍA PBI,EMPLEADO ,SECUNDARIA,DELEGACIÓN XOCHIMILCO,DF,SIN DETENIDO,NINGUNA,NINGUNO,OTRA INSTANCIA (CAVI),SIN DETENIDO
2005,PANTITLÁN,P-009,DEL 03 AL 07 DE MARZO DE 2014,ACATITLA,A,07 DE MARZO DE 2014,VIERNES,MARZO,08:40,09:45,19:10,TOCAMIENTO EN GLÚTEO Y ÁREA PÚBICA,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,SEGUNDO VAGÓN ,MUJER,19,ESTUDIANTE,ESTUDIANTE,PREPARATORIA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,26,MENSAJERO,EMPLEADO,PREPARATORIA INCOMPLETA,MUNICIPIO DE CHICOLOAPAN,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
2006,HIDALGO,H-021,DEL 03 AL 07 DE MARZO DE 2014,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),07 DE MARZO DE 2014,VIERNES,MARZO,09:00,13:45,20:27,VIOLENCIA FAMILIAR (VERBAL),PERSISTENTE Y VIOLENTA,VIOLENCIA FAMILIAR,FUERA DE LAS INSTALACIONES DEL STC (DOMICILIO DE LA VÍCTIMA),MUJER,55,TAREAS DEL HOGAR,TAREAS DEL HOGAR,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,55,TAXISTA,OFICIO,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNO,OTRA INSTANCIA (CAVI),SIN DETENIDO
2007,PINO SUÁREZ,PS-016,DEL 03 AL 07 DE MARZO DE 2014,ZÓCALO,2,07 DE MARZO DE 2014,VIERNES,MARZO,16:00,16:22,16:45,FRICCIÓN DE PENE EN GLÚTEOS,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,20,ESTUDIANTE,ESTUDIANTE,PROFESIONAL INCOMPLETA,DELEGACIÓN MIGUEL HIDALGO,DF,HOMBRE,44,TÉCNICO EN ELECTRÓNICA,EMPLEADO,SIN DATO,MUNICIPIO DE CHALCO,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2008,BALDERAS,B-017,DEL 10 AL 14 DE MARZO DE 2014,HOSPITAL GENERAL,3,10 DE MARZO DE 2014,LUNES,MARZO,10:05,11:04,18:40,FRICCIÓN DE PENE EN GLÚTEOS,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,19,TAREAS DEL HOGAR,TAREAS DEL HOGAR,PREPARATORIA,DELEGACIÓN ALVARO OBREGÓN,DF,HOMBRE,47,ASESOR DEL PRI,EMPLEADO,PREPARATORIA,DELEGACIÓN GUSTAVO A. MADERO,DF,NA,NINGUNA,NINGUNO,FDS,PA
2009,PANTITLÁN,PS-010,DEL 10 AL 14 DE MARZO DE 2014,OTRO TRANSPORTE PÚBLICO ,OTRO TRANSPORTE PÚBLICO,11 DE MARZO DE 2014,MARTES,MARZO,07:10,08:25,19:00,TOCAMIENTO EN PIERNA,PERSISTENTE Y VIOLENTA ,ABUSO SEXUAL,OTRO TRANSPORTE PÚBLICO,MUJER,17,ESTUDIANTE,ESTUDIANTE,PREPARATORIA,MUNICIPIO DE CHIMALHUACÁN,ESTADO DE MÉXICO,HOMBRE,29,COMERCIANTE,COMERCIANTE,PRIMARIA,MUNICIPIO DE OAXACA,OAXACA,NA,NINGUNA,NINGUNO,FDS,PA
2010,BALDERAS,B-018,DEL 10 AL 14 DE MARZO DE 2014,TACUBAYA,7,11 DE MARZO DE 2014,MARTES,MARZO,09:00,09:37,17:10,TOCAMIENTO EN ÁREA PÚBICA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ANDEN,MUJER,31,EMPLEADA DOMÉSTICA,EMPLEADA,SECUNDARIA,MUNICIPIO DE CHIMALHUACÁN,ESTADO DE MÉXICO,HOMBRE,23,ALBAÑIL,OFICIO,SECUNDARIA,MUNICIPIO DE NAUCALPAN,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PA
2011,PANTITLÁN,P-011,DEL 10 AL 14 DE MARZO DE 2014,VALLE GÓMEZ,5,11 DE MARZO DE 2014,MARTES,MARZO,10:45,11:40,12:20,MASTURBACIÓN,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,SEGUNDO VAGÓN ,MUJER,20,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,HOMBRE,42,COMERCIANTE,COMERCIANTE,SECUNDARIA,MUNICIPIO DE ATOTONILCO,ESTADO DE HIDALGO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PA
2012,PANTITLÁN,P-012,DEL 10 AL 14 DE MARZO DE 2014,PANTITLÁN,1,12 DE MARZO DE 2014,MIÉRCOLES,MARZO,16:20,16:35,23:20,TOCAMIENTO EN ÁREA PÚBICA,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,SEGUNDO VAGÓN ,MUJER,28,EMPLEADA,EMPLEADA,BACHILLERATO,MUNICIPIO DE LOS REYES LA PAZ,ESTADO DE MÉXICO,HOMBRE,24,VOCEADOR,EMPLEADO,PREPARATORIA INCOMPLETA,MUNICIPIO DE CHALCO,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
2013,BALDERAS,B-019,DEL 10 AL 14 DE MARZO DE 2014,BALDERAS,1,13 DEMARZO DE 2014,MIÉRCOLES,MARZO,08:45,09:09,09:33,TOCAMIENTO EN GLÚTEO,PERSISTENTE Y POCO AGRESIVA,ABUSO SEXUAL,ANDEN,MUJER,27,EMPLEADA,EMPLEADA,PROFESIONAL,DELEGACIÓN GUSTAVO A. MADERO,DF,HOMBRE,37,DESEMPLEADO,DESEMPLEADO,SECUNDARIA,MUNICIPIO DE TECAMAC,ESTADO DE MÉXICO,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PA
2014,BALDERAS,B-020,DEL 10 AL 14 DE MARZO DE 2014,CERRO DE LA ESTRELLLA ,8,13 DE MARZO DE 2014,MIÉRCOLES,MARZO,10:50,11:29,12:12,TOCAMIENTO EN GLÚTEO,RÁPIDA Y POCO AGRESIVA,ABUSO SEXUAL,CUARTO VAGÓN,MUJER,31,TAREAS DEL HOGAR,TAREAS DEL HOGAR,PROFESIONAL INCOMPLETA,MUNICIPIO DE ECATEPEC,ESTADO DE MÉXICO,HOMBRE,38,COMERCIANTE,COMERCIANTE,SECUNDARIA,DELEGACIÓN IZTAPALAPA,DF,NA,LA VÍCTIMA SE RESERVO SU DERECHO A PRESENTAR FORMAL QUERELLA EN EL MODÚLO,NINGUNO,DC,PBI
2015,PINO SUÁREZ,PS-017,DEL 10 AL 14 DE MARZO DE 2014,PINO SUÁREZ,1,13 DE MARZO DE 2014,JUEVES,MARZO,09:00,09:15,16:15,TOCAMIENTO EN GLÚTEOS,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,ANDEN,MUJER,20,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,DELEGACIÓN XOCHIMILCO,DF,HOMBRE,32,EMPLEADO,EMPLEADO,PROFESIONAL,MUNICIPIO DE HUIXQUILUCAN,ESTADO DE MÉXICO,NA,NINGUNA,NINGUNO,FDS,PBI
2016,PINO SUÁREZ,PS-018,DEL 10 AL 14 DE MARZO DE 2014,PINO SUÁREZ,1,13 DE MARZO DE 2014,JUEVES,MARZO,10:30,10:40,00:49,TOCAMIENTO EN PIERNA,RÁPIDA Y VIOLENTA,ABUSO SEXUAL,QUINTO VAGÓN,MUJER,1,NO APLICA,NO APLICA,NO APLICA,DELEGACIÓN IZTAPALAPA,DF,HOMBRE,34,COMERCIANTE,COMERCIANTE,SECUNDARIA,DELEGACIÓN TLALPAN,DF,NA,NINGUNA,NINGUNO,FDS,PBI
2017,PANTITLÁN,P-013,DEL 10 AL 14 DE MARZO DE 2014,PANTITLÁN,5,13 DE MARZO DE 2014,JUEVES,MARZO,12:59,13:14,22:00,TOCAMIENTO EN GLÚTEO Y PIERNA,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,ESCALERAS FIJAS DE CORRESPONDENCIA,MUJER,17,ESTUDIANTE,ESTUDIANTE,PREPARATORIA INCOMPLETA,MUNICIPIO DE IXTAPALUCA,ESTADO DE MÉXICO,HOMBRE,43,GESTOR,EMPLEADO,BACHILLERATO,DELEGACIÓN IZTAPALAPA,DF,NA,NINGUNA,NINGUNO,FDS,PA
2018,PANTITLÁN,P-014,DEL 10 AL 14 DE MARZO DE 2014,ARAGÓN,5,14 DE MARZO DE 2014,VIERNES,MARZO,14:40,19:20,03:11,TOCAMIENTO EN SENO Y GLÚTEO,SOMETIENDO A LA VÍCTIMA,ABUSO SEXUAL,ANDEN,MUJER,15,ESTUDIANTE,ESTUDIANTE,PREPARATORIA INCOMPLETA,DELEGACIÓN VENUSTIANO CARRANZA,DF,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DETENIDO,NINGUNA,NINGUNO,FDS,SIN DETENIDO
2019,BALDERAS,B-021,DEL 17 AL 21 DE MARZO DE 2014,VIVEROS,3,18 DE MARZO DE 2014,MARTES,MARZO,16:25,17:14,00:51,TOCAMIENTO EN ENTREPIERNA Y PIERNA,PERSISTENTE Y VIOLENTA,ABUSO SEXUAL,SÉPTIMO VAGÓN,MUJER,20,ESTUDIANTE,ESTUDIANTE,PROFESIONAL,MUNICIPIO DE NEZAHUALCÓYOTL,ESTADO DE MÉXICO,HOMBRE,51,DESEMPLEADO,DESEMPLEADO,SECUNDARIA,DELEGACIÓN VENUSTIANO CARRANZA,DF,NA,NINGUNA,NINGUNO,FDS,PBI
